Title,Date,Content,"Access to a secure digital","Accessible and sustainable","Affecting Topics","Type of organisations",Countries,Impact,"Alert types","Civic and political","Civil Society Organisation","Enabling principles","New Contextual","New Violations","Open and responsive State","Respect and protection","Socioeconomic rights","Specific age groups","Specific groups minority","Supportive legal","Supportive public culture","Permalink Path",Permalink
"Use of force by police to disperse protesters at the National University of Ucayali leave students injured",2026-08-06,"On the night of 6 July, police officers and students at the National University of Ucayali (UNU) clashed during a new round of protests. Following a meeting of the University Council, a group of demonstrators attempted to intercept the Rector and reiterate their demand for his resignation. In response, a police contingent entered the university to provide security for the Rector.
According to the testimony of a student, an initial group of 16 police officers arrived at the campus, prompting students to form a human chain to prevent their entry. However, several hours later, a larger police contingent returned and entered the university, triggering clashes with the protesters. The Rector reportedly left the campus disguised as a police officer to avoid the demonstrators.
During the operation, police used tear gas and physical force to disperse the protesters, while students responded with shouting and pushing. Student representatives also alleged that “police officers posed as students in order to provoke unrest”. The police intervention left at least ten students injured, suffering bruises and multiple contusions.
The Federation of Students of the National University of Ucayali (FEUNU) has called for an investigation into the police intervention and for those responsible for the alleged excessive use of force to be identified. The federation also urged the Ombudsman's Office, the Public Prosecutor's Office, the Judiciary, and the National Police to guarantee students' fundamental rights and protect public higher education.
Several organizations condemned the police response. The National Human Rights Coordinator (CNDDHH) denounced the police repression, while the Manuela Ramos Movement, several university federations, and the PUCP Alumni Front also rejected the violence. In addition, the Lima Bar Association called on the Ucayali Bar Association to provide legal assistance to the affected students.",,,,,Peru,Negative,Event,,,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | Freedom of assembly | Freedom of expression",,"Youth and students’ Rights",,,,/event/use-of-force-by-police-to-disperse-protesters-at-the-national-university-of-ucayali-leave-students-injured/,https://events-eusee.hivos.org/event/use-of-force-by-police-to-disperse-protesters-at-the-national-university-of-ucayali-leave-students-injured/
"Some lawmakers from parties in the governing coalition have introduced a bill that would require women to listen to the fetal heartbeat before undergoing an abortion under any of the three grounds established by law",2026-08-06,"On 7 July 206 members of Congress from the National Libertarian Party, the Republican Party, and National Renewal introduced the ""Listen to Her Heartbeat"" bill (Bill 18419-11), which would require doctors to offer women seeking abortions under the three legal grounds (rape, fetal inviability, or risk to the mother's life) the option of listening to the embryo's heartbeat electronically. The bill stipulates that if a woman refuses this option, the doctor must refuse to perform the abortion.
The bill has generated widespread condemnation from civil society organizations specializing in sexual and reproductive rights, former ministers, the Chilean Medical Association, and other healthcare professionals, who describe the initiative as another form of obstetric violence that could exacerbate the suffering of already vulnerable women and girls. The Circle of Studies on International Human Rights Law points out that the bill's rationale directly contradicts Chile's obligations to protect women from violence and discrimination in the healthcare sector.
Meanwhile, more than 50 civil society organizations, along with feminist groups, have called for a national protest in various cities across the country. They are also concerned that the initiative spearheaded by Congressman Cristobal Urruticoechea has already passed its first constitutional hurdle, in a context where the committees that will review the bill in the future are controlled by the ruling party.",,,,,Chile,Negative,"Early warning alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Accountability for human rights violations",,,"Women &amp; Reproductive Rights","Changes affecting the protection from interference in civil society actor’s operations",,/event/some-lawmakers-from-parties-in-the-governing-coalition-have-introduced-a-bill-that-would-require-women-to-listen-to-the-fetal-heartbeat-before-undergoing-an-abortion-under-any-of-the-three-grounds-est/,https://events-eusee.hivos.org/event/some-lawmakers-from-parties-in-the-governing-coalition-have-introduced-a-bill-that-would-require-women-to-listen-to-the-fetal-heartbeat-before-undergoing-an-abortion-under-any-of-the-three-grounds-est/
"Kinshasa: crackdown on doctors’ sit-in outside a government building",2026-08-05,"On 14 July 2026, a collective of doctors not receiving hazard pay organised a sit-in outside the Government House in Kinshasa to demand that they be brought into line with the hazard pay scheme, the regular payment of salaries, and the regularisation of the status of unpaid doctors. Whilst they were demonstrating in the hope of being received by the Minister of Health to present their grievances, members of the Congolese National Police brutalised them, hosed them down with water to disperse them, and one doctor was even beaten up.",,,,,"Democratic Republic of the Congo",Negative,Event,,,"1. Respect and protection of fundamental freedoms",,,,"Freedom of assembly",,,,,,/event/kinshasa-crackdown-on-doctors-sit-in-outside-a-government-building/,https://events-eusee.hivos.org/event/kinshasa-crackdown-on-doctors-sit-in-outside-a-government-building/
"New law allows on military courts for service-related offences raises accountability concerns",2026-08-05,"On 21 July, Law No. 32735, the Law Amending the Military and Police Criminal Code (Legislative Decree No. 1094) and the New Criminal Procedure Code (Legislative Decree No. 957) was enacted. The law aims to clarify the definition of service-related offences, strengthen the role of the military and police, and establish sanctions for military and police personnel involved in criminal gangs or organizations.
Among the provisions that could adversely affect the enabling environment are the following:

Any unlawful conduct committed by police officers or military personnel—including homicide, corruption, human rights violations, and property-related offences—in areas under a state of emergency may be tried by military courts.
Human life is not a military legal interest protected under military jurisdiction. Homicide affects a general legal interest, and this does not change simply because the perpetrator used service weapons or exercised powers derived from official duties. Such circumstances may aggravate an ordinary criminal offence, but they do not transform it into a military one.

This law could facilitate impunity in cases involving human rights violations or acts of corruption committed in alignment with military or government superiors. It also revives associations between the military justice system and some of the darkest legacies of Peru's authoritarian and corrupt governments. According to OjoPúblico, more than 80 ongoing investigations could be transferred to the military and police courts following the enactment of this law.
Following its publication, a press conference was held at the Lima Bar Association, convened by relatives of victims of human rights violations committed during the Internal Armed Conflict (1980–2000), the 2020 social protests, the 2022–2023 massacres, and cases of state violence in 2025–2026, together with the National Human Rights Coordinator (CNDDHH), to denounce legislation aimed at guaranteeing impunity. The CNDDHH and Amnesty International Peru have also publicly rejected this law and other related legislative initiatives. On 23 July, the ""Plantón 50"" demonstration was held outside the Palace of Justice, organised by the No + Impunidad (""No More Impunity"") collective.
In the legal arena, an opposition member of Congress has introduced a bill to repeal Law No. 32735 and has called on the newly elected members of Congress to reopen consideration of the proposal and give it priority during the next legislative session. Meanwhile, the Cusco Bar Association has filed a partial constitutional complaint before the Constitutional Court, seeking to have several provisions of the law declared unconstitutional.",,,,,Peru,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms",,,,"Accountability for human rights violations",,,,,,/event/new-law-allows-on-military-courts-for-service-related-offences-raises-accountability-concerns/,https://events-eusee.hivos.org/event/new-law-allows-on-military-courts-for-service-related-offences-raises-accountability-concerns/
"Administrative harassment and selective enforcement against pro-democracy businesses",2026-08-05,"On 3 August 2026, the retail shop and group-buying platform ""As One"" (如一), operated by former pro-democracy District Councillor Chu Kong-wai, was forced by the Buildings Department to demolish its shop signs, raised floor, and air-conditioning units over alleged unauthorized building works. Mundane checks are weaponized to target and financially exhaust civic spaces. While neighboring shops on Tai Nan Street in Prince Edward were also issued demolition orders, Chu noted that the speed of enforcement was unprecedented: they received court summonses shortly after the initial orders, forcing them to conduct disruptive construction works just before the crucial Mid-Autumn Festival sales period.
This mirrors an established pattern of sustained administrative harassment against pro-democracy (""yellow"") businesses. For instance, in September 2025, the well-known ""yellow"" eatery Keelung Restaurant (基隆茶餐廳) was abruptly ordered to remove its 20-year-old shopfront sign as an ""illegal structure"" following anonymous complaints. The restaurant's owner reported that since April 2025, they had faced an exhausting barrage of inspections from multiple government departments, including the Food and Environmental Hygiene Department and the Fire Services Department, who admitted they were responding to external complaints.",,,"Civic and political engagement","Cultural and Artistic Organisations","Hong Kong",Negative,Event,,,"1. Respect and protection of fundamental freedoms",,,,"Freedom of association | Freedom of expression",,,,,,/event/administrative-harassment-and-selective-enforcement-against-pro-democracy-businesses/,https://events-eusee.hivos.org/event/administrative-harassment-and-selective-enforcement-against-pro-democracy-businesses/
"Politically motivated dismissal of activist dentist and systemic harassment via employers",2026-08-05,"In late July 2026, Lee Ying-chi, a dentist and known activist, was summarily dismissed from her clinic, a non-profit organisation with government partnerships, shortly after staging a peaceful solo demonstration on the anniversary of the 2019 Yuen Long mob attack (21 July). During the protest, Lee held a watermelon and a photo of a prominent, unprosecuted attacker from 2019 (known as ""Watermelon Man"") and was stopped and searched by police. Three days after this widely reported incident, clinic management pressured her to resign.
Human Resources claimed she had failed to declare a past fine for ""unlicensed fundraising,"" but explicitly stated that retaining her would jeopardise the organisation's ""partnership with the government,"" asking her to ""sympathise with their situation."" When Lee refused to resign voluntarily, asserting she had never let her activism interfere with her professional duties or work hours, she was fired with immediate effect. She was barred from packing her personal belongings and crucially, prevented from properly handing over her patients' clinical care. Therefore, demonstrating a systemic pattern of harassment designed to economically and socially isolate civil society actors.",,,"Civic and political engagement",,"Hong Kong",Negative,Event,"Civic and Electoral Rights",,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | Freedom of expression",,,,,,/event/politically-motivated-dismissal-of-activist-dentist-and-systemic-harassment-via-employers/,https://events-eusee.hivos.org/event/politically-motivated-dismissal-of-activist-dentist-and-systemic-harassment-via-employers/
"Government Shuts Down Special Unit Created to Investigate Illegal Adoptions During the Dictatorship",2026-08-04,"On 23 June 2026, the Chilean government officially announced the closure of the Unit for the Search for Origins and Family Members of Persons Affected by Illegal, Forced or Irregular Adoptions (UBAFI), a specialized agency created during the final months of former President Gabriel Boric’s administration to investigate irregular adoptions and facilitate family reunions for some 20,000 victims between 1950 and 1989.
Although the Undersecretary of Human Rights assures that the work will continue under its purview, civil society organizations working on human rights and former officials in the field describe the decision as a “step backward for the state” that leaves thousands of cases of irregular adoptions in limbo and halts the creation of a DNA database.",,,,,Chile,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms",,,"Changes in degree of government accountability to civil society","Accountability for human rights violations",,,,,,/event/government-shuts-down-special-unit-created-to-investigate-illegal-adoptions-during-the-dictatorship/,https://events-eusee.hivos.org/event/government-shuts-down-special-unit-created-to-investigate-illegal-adoptions-during-the-dictatorship/
"The Committee of Ministers rejected the appeals filed by civil society against the Mataquito mega-electric project",2026-08-04,"On 29 July 2026, the Committee of Ministers rejected the appeals for annulment filed against the Mataquito power project, which aims to connect the Itahue (Maule) and Hualqui (Biobío) substations via a 406-kilometer transmission line that crosses 22 municipalities, three regions, and 170 localities, affecting more than 40,000 hectares. Environmental and community organizations, through the Nonguén River Basin Governance Roundtable and the group Maule Sur por la Vida, expressed their opposition to the decision. Leaders announced protests, a complaint to the Comptroller’s Office, and legal actions before the Second Environmental Court. Meanwhile, the Association of Municipalities of Biobío also challenged the ruling. Municipalities in the Biobío region are also on alert to file new complaints with the Environmental Court.",,,"Environmental justice and sustainability",,Chile,Negative,Event,,,,,,"Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society",,,,,,,/event/the-committee-of-ministers-rejected-the-appeals-filed-by-civil-society-against-the-mataquito-mega-electric-project/,https://events-eusee.hivos.org/event/the-committee-of-ministers-rejected-the-appeals-filed-by-civil-society-against-the-mataquito-mega-electric-project/
"The CIDH convened a public hearing to examine allegations of a recent weakening of human rights policies during the administration of President José Antonio Kast",2026-08-04,"The Inter-American Commission on Human Rights (IACHR) has scheduled a public hearing for 5 August in Washington, D.C., in response to a request filed by Chilean human rights organizations (including Londres 38 and the Association for Memory and Human Rights Colonia Dignidad) with the support of 82 other civil society organizations. The hearing will examine allegations of institutional weakening and setbacks in human rights policies that have been observed since President José Antonio Kast took office in March of this year.",,,,,Chile,Negative,Event,,,"1. Respect and protection of fundamental freedoms",,,"Changes in degree of government accountability to civil society","Accountability for human rights violations | Improvement in the rights protection framework",,,,,,/event/the-cidh-convened-a-public-hearing-to-examine-allegations-of-a-recent-weakening-of-human-rights-policies-during-the-administration-of-president-jose-antonio-kast/,https://events-eusee.hivos.org/event/the-cidh-convened-a-public-hearing-to-examine-allegations-of-a-recent-weakening-of-human-rights-policies-during-the-administration-of-president-jose-antonio-kast/
"Arbitrary arrest, and alleged sexual violence against members of Al-Wehda Emergency Room – North Kordofan",2026-08-04,"On Monday, 23 June 2026, three members of Al-Wehda Emergency Room in El Obeid, North Kordofan, Sudan, were arrested by a force affiliated with the General Intelligence Service. The three members, including a female volunteer, were detained for approximately two days before being released. During the detention period, the detainees reported being subjected to physical assault and ill-treatment. According to the survivors’ testimonies, while one female volunteer was taken separately for interrogation and questioning by members of the security apparatus, another female volunteer who remained in detention was allegedly subjected to rape by two individuals affiliated with the General Intelligence Service. It is believed that the sexual violence may have been linked to her ethnic background, particularly in the context of recent accusations and labeling of certain ethnic groups as “social bases/supporters of the Rapid Support Forces (RSF).” This allegation requires further investigation and verification to establish the motive behind the attack.
The security forces also reportedly searched the detainees’ personal phones and accessed their private information. The detainees stated that their arrest was based on accusations of cooperation with the Rapid Support Forces (RSF) and communication with civil and political actors. Following their release, they were reportedly forced to sign undertakings requiring them to report weekly to the offices of the General Intelligence Service and were informed that they would remain under continuous security surveillance. The reported violations include arbitrary detention, physical abuse and ill-treatment during detention, alleged conflict-related sexual violence, violation of privacy, coercion, restrictions on civic activities, and intimidation of humanitarian and civil society actor",,,"Civic and political engagement","National formal and informal organisations",Sudan,Negative,Event,"Freedom of the press",,"1. Respect and protection of fundamental freedoms",,,"Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society","Arbitrary Arrests and Detentions | Freedom of association | Freedom of expression",,,,,,/event/arbitrary-arrest-and-alleged-sexual-violence-against-members-of-al-wehda-emergency-room-north-kordofan/,https://events-eusee.hivos.org/event/arbitrary-arrest-and-alleged-sexual-violence-against-members-of-al-wehda-emergency-room-north-kordofan/
"Extended social media blackout in Gabon: WhatsApp accounts hacked in connection with the use of VPN",2026-08-04,"For several weeks since the end of June 2026, Gabon has been facing a surge in cybercrime ; many users have reported that their personal and work WhatsApp accounts have been hacked, including the WhatsApp group for the editorial team of the national television channel Gabon Télévision. This situation has prompted a coalition of civil society organisations to call for the lifting of the social media ban, which has been in place for over five months.
It should be noted that following the announcement of the social media ban with immediate effect on 17 February 2026, Gabonese people automatically began using VPNs to circumvent the ban, but these new methods of connecting to the internet are not without consequences: civil society organisations have already recorded around fifty complaints regarding the hacking of personal and professional WhatsApp accounts. This phenomenon illustrates the adverse effects of a prolonged suspension of social media: rather than protecting the digital space, it leaves users even more vulnerable to cyberattacks.",,,"Civic and political engagement","National formal and informal organisations",Gabon,Negative,Event,,,"1. Respect and protection of fundamental freedoms | 6. Access to a secure digital environment",,,,"Freedom of association | Freedom of expression | Freedom of the press / media",,,,,,/event/extended-social-media-blackout-in-gabon-whatsapp-accounts-hacked-in-connection-with-the-use-of-vpn/,https://events-eusee.hivos.org/event/extended-social-media-blackout-in-gabon-whatsapp-accounts-hacked-in-connection-with-the-use-of-vpn/
"Harassment and surveillance of TISA and members of the Okoa Uchumi Campaign",2026-08-04,"Since early June 2026, the Executive Director of the Institute for Social Accountability (TISA) has reportedly been subjected to a sustained pattern of intrusive surveillance and road harassment, including repeated tailing along routes she regularly uses to and from work. On 2 July 2026, at least 13 individuals alleged to be state security officers reportedly attempted to gain entry into TISA's offices without following lawful procedures. Civil society organisations have further alleged that these incidents form part of a broader, coordinated campaign of intimidation targeting TISA, its Executive Director, staff members and other participants in the Okoa Uchumi Campaign.
In response to these developments, a coalition of civil society organisations issued a joint press statement on 13 July 2026 condemning what it described as police intimidation of activists and an organised, state-enabled campaign of terror against citizens exercising their constitutional rights. The statement called for investigations into the alleged surveillance, harassment, and attempted raid on TISA's offices, as well as broader protections for civic actors.
These reported incidents point to a further deterioration of Kenya's civic space and enabling environment for civil society. Such allegations of surveillance, intimidation, and harassment against civil society actors have a chilling effect on civic participation, freedom of association and the ability of civil society organisations to undertake accountability and public interest work without fear of reprisals.",,,,"National formal and informal organisations",Kenya,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 6. Access to a secure digital environment",,,,"Freedom of assembly | Freedom of expression | Non-physical Intimidation Tactics",,,,,,/event/harassment-and-surveillance-of-tisa-and-members-of-the-okoa-uchumi-campaign/,https://events-eusee.hivos.org/event/harassment-and-surveillance-of-tisa-and-members-of-the-okoa-uchumi-campaign/
"Activist Sentenced to 30 Days in Prison Over a Social Media Post",2026-08-03,"On 27 July 2026, activist Gabriela Panchana Briones was sentenced to 30 days in prison and ordered to issue a public apology for a post published on the social media platform X. According to a statement issued by Panchana, the sentence resulted from a complaint filed by another user of the platform under Article 396 of Ecuador's Organic Comprehensive Criminal Code (COIP), which penalizes expressions deemed to dishonor or discredit another person. The activist maintained that the post in question did not refer to any specific individual. In addition, during the legal proceedings, organizations such as Fundamedios reported that they were denied access to the hearing, despite its public nature and the fact that it was conducted remotely.
The existence and enforcement of Article 396 of the COIP constitute an obstacle to the full enjoyment of freedom of expression in Ecuador and are inconsistent with the Inter-American human rights standards to which the Ecuadorian State has committed itself. Furthermore, restrictions on access to a public hearing undermine the principles of transparency and openness in the administration of justice, limiting the ability of civil society organizations to monitor judicial proceedings of public interest.
The Comité Permanente por la Defensa de los Derechos Humanos (CDH) and other civil society organizations condemned both the sentence and the restrictions on access to the hearings, warning that the criminal justice system may be used to discourage the exercise of freedom of expression and dissent, particularly against individuals who are critical of the government of President Daniel Noboa.",,,,,Ecuador,Negative,Event,,,"1. Respect and protection of fundamental freedoms",,,"Changes in degree of transparency of government / freedom of information","Freedom of expression | Non-physical Intimidation Tactics",,,,,,/event/activist-sentenced-to-30-days-in-prison-over-a-social-media-post/,https://events-eusee.hivos.org/event/activist-sentenced-to-30-days-in-prison-over-a-social-media-post/
"Judicial proceedings and police summonses of journalists following the publication of a report on the forced eviction of “Koumassi Campement” in Abidjan, Côte d’Ivoire.",2026-08-03,"On 8 July 2026, the online news outlet L’Éléphant Déchaîné published an investigative report on the controversial eviction of residents from the Koumassi Campement neighborhood in Abidjan. In response, the Governor of the Autonomous District of Abidjan, Cissé Bacongo, initiated a series of actions directly targeting the newspaper's editorial team. On 13 July, he sent the outlet a right of reply together with a formal notice demanding that it produce evidence within 48 hours, under the threat of legal proceedings. Considering this demand to be contrary to Article 71 of the Press Law, the newspaper referred the matter to the National Press Authority (ANP) on 14 July.
However, the governor followed through on his threat by filing a criminal complaint with the Public Prosecutor. Acting on the prosecutor's instructions, the Abidjan Police Prefecture summoned the two journalists responsible for the publication, Tiemoko Antoine Assale and Stéphane Bahi, for questioning scheduled for Monday, 3 August 2026. This development marks an unprecedented escalation in the use of the judicial and police apparatus to pressure an investigative media outlet.",,,,,"Côte d'Ivoire",Negative,Event,,,"1. Respect and protection of fundamental freedoms",,,,"Freedom of expression | Freedom of the press / media | Non-physical Intimidation Tactics",,,,,,/event/judicial-proceedings-and-police-summonses-of-journalists-following-the-publication-of-a-report-on-the-forced-eviction-of-koumassi-campement-in-abidjan-cote-divoire/,https://events-eusee.hivos.org/event/judicial-proceedings-and-police-summonses-of-journalists-following-the-publication-of-a-report-on-the-forced-eviction-of-koumassi-campement-in-abidjan-cote-divoire/
"Alleged administrative reprisals against USAC students raise concerns over the right to education and civic space",2026-08-03,"Between 20 and 24 July 2026, at least 40 students from different faculties and regional campuses of the University of San Carlos of Guatemala (USAC) reported that their academic records had disappeared from the Department of Registration and Statistics system, preventing them from enrolling for the academic term and continuing their studies. The affected students state that they were not notified of any administrative procedure or decision justifying the removal of their records and therefore consider that their rights to education and due process have been violated.
The students argue that the measure constitutes retaliation against those who have expressed critical views of the administration of Rector Walter Mazariegos, whose elections in 2022 and 2026 were widely questioned due to allegations of irregularities. In this context, they describe the disappearance of their academic records as a form of ""academic death,"" as it prevents them from continuing their university education. They also reported that several affected students have chosen not to speak publicly about their situation for fear of further reprisals.
In response, the students submitted formal petitions to the Department of Registration and Statistics requesting the restoration of their academic records and an official explanation. At the same time, the Human Rights Ombudsman's Office (PDH) opened an investigation, provided support to the affected students, and initiated proceedings to assess possible violations of the right to education and other legal guarantees. In addition, a complaint was filed with the Public Prosecutor's Office requesting an investigation into the alleged removal or destruction of academic records.
The reported incidents have raised concerns among students and human rights organisations due to their potential implications for the right to education, freedom of expression, and student participation. They also raise concerns about the conditions for exercising these rights and the functioning of civic space within the country's only public university. The perception of possible administrative reprisals against people who express critical positions could discourage denunciation, collective organization, participation in university spaces and the defense of rights, affecting the civic space within the university and limiting the role of the USAC as a space for plural debate and citizen training.",,,,,Guatemala,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms",,,,"Non-physical Intimidation Tactics",,"Youth and students’ Rights",,,,/event/alleged-administrative-reprisals-against-usac-students-raise-concerns-over-the-right-to-education-and-civic-space/,https://events-eusee.hivos.org/event/alleged-administrative-reprisals-against-usac-students-raise-concerns-over-the-right-to-education-and-civic-space/
"Colombia officially launches the National Action Plan on Human Rights 2026–2036",2026-08-03,"The National Government officially launched the National Action Plan on Human Rights (PNADH) 2026–2036, a long-term public policy adopted through Decree 0585 of 5 June 2026. The official launch took place on 15 July 2026 and was led by the Presidential Office for Human Rights, with the participation of government agencies, international organizations, labor unions, and representatives of civil society.
The Plan establishes a roadmap for the next ten years with nearly 200 strategic actions aimed at strengthening the promotion, protection, and guarantee of human rights in Colombia. Its objectives include consolidating human rights institutions, strengthening citizen participation, preventing human rights violations, protecting particularly vulnerable populations, and fostering coordination among national and regional entities. The document incorporates differential, territorial, ethnic, gender, and intersectional approaches.
The Plan is presented as a state policy that seeks to transcend individual administrations and fulfill national and international commitments regarding human rights, including recommendations from international mechanisms and commitments arising from the Final Peace Agreement. Given that the plan is currently under the Presidential Office for Human Rights and the incoming government has announced that this office will be dissolved, it is expected that responsibility for its implementation will be transferred to an entity that assumes those responsibilities, such as the Ministry of the Interior. According to the agency’s announcement, although the decree has been issued, the task of developing the indicators and disseminating them nationwide, particularly to local governments, which will play a central role in their implementation, remains pending.",,,"Civic and political engagement","National formal and informal organisations",Colombia,Positive,"Context to watch",,,"1. Respect and protection of fundamental freedoms",,,"Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society | Supportive public culture and discourses on civil society","Improvement in the rights protection framework",,,,,,/event/colombia-officially-launches-the-national-action-plan-on-human-rights-2026-2036/,https://events-eusee.hivos.org/event/colombia-officially-launches-the-national-action-plan-on-human-rights-2026-2036/
"Withdrawal of the Republic of Chad from the Rome Statute of the ICC",2026-07-31,"On 27 July 2026, the Government of the Republic of Chad notified the Secretary-General of the United Nations, the depositary of the Rome Statute, of its sovereign decision to withdraw from the International Criminal Court (ICC), in accordance with Article 127 of the Rome Statute. This announcement was formalized in an official statement from the Chadian Ministry of Foreign Affairs, signed by spokesperson Ibrahim Adam Mahamat.
Chad justifies its decision by pointing to what it considers an unbalanced track record of the Court since its creation in 2002: of the 13 investigations opened, 9 involve African states, compared with only 4 in other regions, and of the 7 individuals currently detained by the ICC, 6 are being held in connection with situations in Africa. N'Djamena sees this as a sign of the Court’s “political manipulation” and presents this withdrawal as an act to defend its sovereignty. The country is calling on the African Union to strengthen African judicial mechanisms in order to build a more equitable continental justice system, while reaffirming its commitment to combating impunity for serious crimes.
This withdrawal echoes the stance already taken by Mali and Burkina Faso, two member countries of the Alliance of Sahel States (AES), which also accuse the ICC of bias. In accordance with Article 127, the withdrawal will not take effect for another year, on 27 July 2027; until then, Chad remains bound by its obligations, and the Court retains jurisdiction over crimes committed prior to that date. The ICC has thus lost a third African country in less than two years, reigniting the debate over its presence on the continent.",,,"Civic and political engagement",,Chad,Negative,"Deterioration alert",,,"4. Open and responsive state",,,"Changes in degree of government accountability to civil society | Changes in degree of participation of and engagement with civil society",,"Crisis Response, Peace and Humanitarian Aid",,,,,/event/withdrawal-of-the-republic-of-chad-from-the-rome-statute-of-the-ic/,https://events-eusee.hivos.org/event/withdrawal-of-the-republic-of-chad-from-the-rome-statute-of-the-ic/
"Civil society and public stakeholders call on Trinidad and Tobago to resist US pressure against the ICC and associated organisations",2026-07-31,"On 13 July 2026, the United States announced a campaign to dismantle or systematically disable the International Criminal Court (ICC). The measures reportedly include diplomatic pressure on ICC States Parties, possible reductions in assistance, additional financial sanctions, visa restrictions and efforts to persuade countries to withdraw political and financial support from the Court. Trinidad and Tobago is particularly affected because it is a longstanding ICC State Party and played a formative role in the Court’s establishment through the advocacy of former prime minister and president Arthur NR Robinson.
The announcement prompted public intervention from stakeholders in Trinidad and Tobago. Movement for Social Justice leader David Abdulah urged the Government not to support the United States initiative; Independent Senator Anthony Vieira argued that silence was not an acceptable response; and former minister Winston Dookeran warned that weakening the Court would undermine international accountability. Former foreign affairs minister Dr Amery Browne also called for the Government to disclose its position. However, Prime Minister Kamla Persad-Bissessar initially declined to comment publicly on the campaign.
The event affects civil society’s enabling environment because organisations supporting international justice, victims and human-rights accountability have already been targeted by United States sanctions. Further escalation could discourage Trinidad and Tobago organisations from engaging with the ICC, constrain funding and banking access, and create fear of travel, financial or reputational consequences. At the same time, the open interventions by domestic stakeholders and media demonstrate continuing space for civic advocacy. The key concern is whether this advocacy receives a transparent and responsive government answer.",,,"Civic and political engagement",,"Trinidad and Tobago",Negative,Event,,,"1. Respect and protection of fundamental freedoms | 3. Accessible and sustainable resources",,,,"Non-physical Intimidation Tactics",,,,,,/event/civil-society-and-public-stakeholders-call-on-trinidad-and-tobago-to-resist-us-pressure-against-the-icc-and-associated-organisations/,https://events-eusee.hivos.org/event/civil-society-and-public-stakeholders-call-on-trinidad-and-tobago-to-resist-us-pressure-against-the-icc-and-associated-organisations/
"Preventive detention order review prompts civil society calls for system-wide oversight and equal access to justice",2026-07-31,"Between 23 and 26 July 2026, legal professionals and civil-society actors responded to the Government’s decision to revoke the Preventive Detention Orders issued against business owners Dominic and Genevieve Hadeed during Trinidad and Tobago’s continuing State of Emergency. The Ministry of Homeland Security stated that the decision followed a review of the legal, medical and public-interest considerations surrounding the case, as well as recommendations from the relevant review tribunal. Saira Lakhan, president of the Assembly of Southern Lawyers, welcomed the decision and stated that it demonstrated the need for emergency powers to remain under continuous review and to be exercised lawfully, necessarily and proportionately. She also cautioned that the continuing criminal investigation should be allowed to proceed through due process.
Other legal advocates called for the same scrutiny and access to representation to be extended to less prominent detainees. Former House Speaker Nizam Mohammed urged attorneys to form a consortium to represent people detained under PDOs who cannot afford legal assistance, particularly those from economically disadvantaged communities. Separately, former attorney general Ramesh Lawrence Maharaj questioned whether regulations allowing a government minister to determine continued detention improperly transfer judicial functions to the executive. The development constitutes a limited positive response to concerns about emergency detention, demonstrating that review mechanisms can result in corrective action, while highlighting that broader transparency, oversight and access-to-justice concerns remain unresolved.",,,,,"Trinidad and Tobago",Positive,Event,,,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | Improvement in the rights protection framework","Social justice",,,,,/event/preventive-detention-order-review-prompts-civil-society-calls-for-system-wide-oversight-and-equal-access-to-justice/,https://events-eusee.hivos.org/event/preventive-detention-order-review-prompts-civil-society-calls-for-system-wide-oversight-and-equal-access-to-justice/
