post_title,summary,creation_date,category,post_tag,alert-country,enabling-principle,alert-impact,alert-type,respect-and-protection,supportive-legal,accessible-and-sustainable,open-and-responsive-state,supportive-public-culture,access-to-a-secure-digital,affecting-topic,socioeconomic-rights,specific-groups-minority,specific-age-groups,civic-and-political
"New Evidence of Corruption Among Civil Servants Exposes Paraguay's Weak Public Institutions","Event Summary
On February 3, 2025 new evidence was revealed showing the depth of corruption and organized crime infiltration in several public institutions in Paraguay. The evidence, derived from Whatsapp messages retrieved from the phone of Deputy Elulalio Gomes, who was accused of money laundering linked to drug trafficking and recently gunned down in a prosecutor-police operation, shows alleged bribery and corruption schemes involving several public servants. The evidence has since been passed on to the Public Prosecutor’s Office with the Attorney General still deciding whether to open an investigation. Meanwhile, a summit of powers, convened by President Santiago Peña, is scheduled for later this month to address these corruption issues. The alleged corruption network predominantly affects the Jury for the Trial of Magistrates, the body responsible for the trial and removal of Judges, Members of Courts, Prosecutors and Public Defenders.
The revelation provides evidence of the infiltration of organized crime in the judiciary and has triggered several sectors of the public to speak out. Dozens of CSOs have expressed their concern because &#8220;justice continues to be used as an instrument of political negotiation, and not as a pillar of guarantee for the citizenry&#8221;, which puts &#8220;at risk the physical and legal security of all Paraguayans.” Similar claims were made by the Trade Union Board; UIP, FEPRINCO, ASOBAN, industry, commerce and banking  unions;  Cardinal Adalberto Martínez; the Executives Club; and the Importers&#8217; Center, among others. The recent revelations have thus sparked a broad public demand for more transparency and accountability in the government coming not only from organized civil society but a variety of actors, including the business sector. It has placed central issues of the Rule of Law, such as legal security, separation of powers or equality before the law, on the citizens&#8217; agenda – issues which previously have not been discussed to this extent as citizens are largely disillusioned with democracy and show the highest support for autocratic forms of government in Latin America. The public debate on this constitutes a visible alert of the degradation of the justice system in Paraguay, generating a movement that seeks greater participation and a greater responsiveness of the government.
",2025-04-02,,,Paraguay,"Civic Culture and Public Discourses on Civil Society",Negative,"Context to watch",,,,,,,,,,,
"Supreme Court rules that it is illegal to try civilians in military courts","Event Summary
On January 31, 2025, the Supreme Court of Uganda decided that military courts lack jurisdiction to try civilians, thereby effectively halting all ongoing military trials of civilians. Despite the Constitutional Court having declared military trials of civilians unconstitutional in 2021, Ugandan authorities have continued to use military courts to prosecute and arbitrarily detain civilians, particularly political opposition leaders, civil society leaders and government critics. Critics of the military trials of civilians have also faced harassment and arrests. The government has been weaponizing military courts to stifle political opposition and dissenting views. Such trials of civilians in military courts limit fundamental freedoms like the freedom of speech as civil society actors fear to be taken to jail and result in self-censorship by government critics.
The Supreme Court ruling is an important step to protect civilians from arbitrary military prosecution, thereby strengthening the protection of fundamental freedoms. By limiting military overreach, it promotes a clearer distinction between civilian and military jurisdictions, reducing the militarization of court processes for political reasons. It also sets a precedent for future cases, encouraging broader legal and institutional reforms, provides a legal basis for advocacy, and could also create a more level playing field for political actors in the upcoming elections, as opposition members and civil society actors would no longer face the threat of military trials, thereby reducing self-censorship. The decision may also enhance public trust in the judiciary and the rule of law, which could encourage greater voter participation and confidence in the electoral process.
This situation will continue to be closely monitored by the Network Member as the ruling has faced criticism from the government, which is planning to amend the Uganda Peoples’ Defence Forces Act to legalize the continued trial of civilians in military courts. Should this amendment pass, more civilians will be tried, triggering fears that military trials may be used as a tactic to suppress political dissent in the upcoming electoral period.
&nbsp;
",2025-04-02,,,Uganda,"Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Positive,"Improvement alert",,,,,,,,,,,
"Chile Advances EITI Implementation: Strengthening Transparency in Extractive Governance","Event Summary
In early 2025, Chile is advancing its Extractive Industries Transparency Initiative (EITI) implementation, presenting a key opportunity to institutionalise transparency and strengthen civil society participation in governance. A Multi-Stakeholder Group (GMP), which includes civil society representatives, is finalising its structure and regulatory framework to ensure transparency in the extractive sector in Chile.
While civil society participation is secured, challenges remain in enforcing transparency commitments and overcoming potential resistance from  industry stakeholders. The next phase of implementation in the coming months will be a crucial window for advocacy and oversight to ensure civil society has a formalized role in transparency discussions.
Key Opportunities:
-Institutionalise civil society’s oversight role in extractive governance
-Strengthen independent monitoring of public-private sector interactions
-Establish a model for participatory governance in other sectors
-Influence broader transparency reforms, including Law 20.500 on Citizen Participation and the National Integrity Strategy (ENIP)
",2025-04-02,,,Chile,"State openness and responsiveness to civil society, Supportive legal and regulatory framework",Positive,"Opportunity alert",,,,,,,,,,,
"Hong Kong Public Opinion Research Institute (HKPORI) suspends research activities following investigations and intimidations","Event Summary
Following the enactment of the repressive Law of the People’s Republic of China on Safeguarding National Security in the Hong Kong Special Administrative Region (NSL) in 2020 by China’s National People’s Congress Standing Committee (NPCSC), there has been a notable increase in the closure of critical pro-democracy groups in Hong Kong. These closures are closely associated with the weaponization of the NSL, leading to deterrence and intimidation of critical civil society. On February 13, 2025, the Hong Kong Public Opinion Research Institute (HKPORI) announced the indefinite suspension of all self-funded research activities, including long-standing tracking surveys and recent topical studies including a likely halting of all operations. The institute regularly conducted surveys on various topics including government officials&#8217; popularity, Hong Kong identity, and public attitudes towards significant events.
This decision follows multiple investigations by the National Security Department, including office searches on January 13 and subsequent questioning of the institute&#8217;s president and CEO, Robert Chung, and two staff members. HKPORI’s former deputy CEO Chung Kim-wah, currently in the UK, was added to a wanted list last December over alleged violations of NSL. Additionally, family members of exiled pro-democracy activists on the wanted list under the NSL have faced increased victimisation and harassment by national security police. On February 17, the younger aunt of former district councillor Lau Ka-man was taken in for questioning, following the detention of her other aunt and uncle on February 10. Additionally, former legislator Ted Hui disclosed that a Hong Kong court had issued a confiscation order for his family’s assets, including properties and funds held by law firms. These actions are part of a broader pattern of targeting family members of wanted individuals, which began after new bounties were announced on December 24, 2024. The Democratic Party, a cornerstone of Hong Kong’s pro-democracy movement since its founding in 1994, has also been severely impacted by increased crackdown following the implementation of the NSL, 2020. On February 20, 2025, it announced that it has started the process of disbanding. This decision came in the context of reforms in electoral system have introduced the regulation that only “patriots” can occupy positions of political power. This becomes an addition to over 90 pro-democracy organizations have also disbanded in the past year alone.
These incidents collectively illustrate the increased weaponization of the NSL in Hong Kong, leading to the silencing of pro-democracy groups. This trend severely impacts the civic space and the work of civil society, as organizations face mounting pressure and legal challenges, undermining their ability to operate freely and advocate for democratic principles.
",2025-04-02,,,"Hong Kong","Respect and protection of fundamental freedoms, State openness and responsiveness to civil society, Supportive legal and regulatory framework",Negative,"Deterioration alert",,,,,,,,,,,
"Arbitrary dismissal of environmental justice activist and park ranger in Bolivia","Event Summary
On December 31, 2024, park ranger Marcos Uzquiano was dismissed from his duties by the National Service of Protected Areas (Sernap) and on January 3, 2025, an administrative process was initiated against him for his work as president of the Bolivian Association of Park Rangers and Conservation Agents (Abolac), an organization that brings together all the agents that protect Bolivia&#8217;s protected areas. The dismissal, which alleges a conflict of interest between his roles as public servant and as union leader, follows previous attacks against him and his colleagues, including retaliative charges of defamation and slander filed by a cooperative miner in 2023. Despite the Obudsman’s Office filing a constitutional protection action and the constitutional court invalidating Uzquiano’s dismissal on January 13, 2025, he has not been reinstated by Sernap. His dismissal and administrative process violate his right to association and unionization. Furthermore, his work in denouncing environmental crimes has been criminalized, generating an inhibiting effect on civil society.
The case of Uzquiano highlights the use of the judicial apparatus as a tool to delegitimize and silence activists, especially in the environmental field, and underlines the structural deficiencies in the protection of human rights defenders in Bolivia. On a systemic level, this event may contribute to a change in public perception of the security and freedom of human rights defenders and may generate both domestic and international pressure for structural reforms to ensure greater protection for defenders and to strengthen the legal protection framework. If, however, Uzquiano is not immediately reinstated, this case could contribute to the normalization of the criminalization of environmental activism by creating an environment of impunity. This broader context of criminalization and lack of institutional protection creates a climate of uncertainty and intimidation, limiting the ability of defenders to act freely on behalf of their communities and the environment.
",2025-04-02,,,Bolivia,"Respect and protection of fundamental freedoms",Negative,"Context to watch",,,,,,,,,,,
"Thailand Deports Uyghurs to China","Event Summary
On 27 February 2025, at 2:14 AM, dozens of Uyghurs who were in immigration detention centers were taken away in six trucks with windows blacked out, and flown to the Xingjiang city of Kashgar. This is the first time since 2015 that Thailand has deported Uyghurs. It demonstrates that Thailand is willing to listen to the demands of China, over the demands of civil society organisations and other countries such as the US or the EU.

On 6 March 2025, Thailand vice foreign minister Russ Jalichandra acknowledged that Bangkok had received offers from other countries to resettle the Uyghurs, reversing the previous government stance that Thailand had received no such offers. He also said that the stated proposals were “unrealistic” and would expose Thailand to retaliation from China that would impact the livelihood of many Thais. Previously, Thai Deputy Prime Minister Phumtham Weychayachai said that, despite waiting for more than 10 years, no country made any concrete offers to resettle the 48 Uyghurs.
This event carries risk of arbitrary detention and torture for the 48 deported Uyghurs. In Thailand, it represents a breach of trust between the Thai government, CSOs and various foreign governments.
The fate of eight Uyghurs still believed to be in Thailand is currently unknown.
",2025-04-02,,,Thailand,"Respect and protection of fundamental freedoms",Negative,"Context to watch",,,,,,,,,,,
"Investigation into CSOs following allegations of funding for terrorist organisations made by U.S. Senator","Event Summary
Following the recent statement by a US Senator that USAID funds Boko-Haram in Nigeria, the Nigerian National Assembly has launched investigations into the activities of USAID and nonprofits in the country. An investigative committee set up on February 20, 2025, by the House of Representatives will focus on the activities of CSOs in the Northwestern part of the country. The investigation will be led by Hon. Victor Obuzor, Chair House Committee on CSOs. The Committee is to investigate allegations of funding for Boko Haram and other international terrorist organisations by USAID. Despite Hon. Victor Obuzor&#8217;s reassurances that he would lead the investigation with diligence, transparency, and objectivity, CSOs are concerned about the objectivity of the investigation and its implications for their work. The debates on the floor of the House of Representatives and statements by lawmakers in support of the investigation show the lack of understanding and respect for freedom of association contributing to the ongoing negative narratives about the sector while heightening threats to the sector and its workforce. CSOs also fear that new restrictive laws on CSOs work might be discussed in Parliament.
If not objectively carried out, the investigation may become part of an ongoing process of attack on civil society and push for stiffer regulations, a common trend which started in 2015 and continues until today. Over the years and in a bid to justify the need for enacting these laws that will curtail the activities of the CSOs, narratives such as “NGOs are conduits for money laundering and terrorism financing” have grown but with no evidence. The funding freeze by the US government and ongoing dis/misinformation related to it has increased the pressure on the civil society sector, including renewed attacks. The growing narrative that NGOs in the country support terrorism, spread by government and other actors even before, has now found a home amidst the attacks on USAID and its operations both by US decision-makers, security agencies in the country and a section of the public. If not properly handled, the investigation and the related narratives being spread can lead to the passage of additional, restrictive laws and further decrease public trust in the work of civil society.
&nbsp;
&nbsp;
",2025-04-02,,,Nigeria,"Civic Culture and Public Discourses on Civil Society",Negative,"Early warning alert",,,,,,,,,,,
"President Hichilema's Call for Respect of Due Process and for the Promotion of Online Professionalism","Event Summary
On 5th March 2025, during the swearing-in ceremony of Anti-Corruption Commission (ACC) Director General Daphne Chabu and Human Rights Commission (HRC) Director General Mbololwa Wamunyima, President Hakainde Hichilema emphasized his commitment to fostering due process and online professionalism. He dismissed claims that he is restricting the operations of Law Enforcement Agencies (LEAs) and reaffirmed his dedication to ensuring thorough investigations before arrests are made. This approach aims to prevent unnecessary detentions without bond or bail when applicable, aligning with principles of due process and human rights. President Hichilema&#8217;s stance marks a significant departure from past practices, where arbitrary arrests and prolonged pretrial detentions were prevalent, as detailed in the previous human rights reports and the 2017 arrest of Hichilema himself on charges of treason. This shift can signal a positive development for civil society, fostering an environment where citizens can trust that law enforcement agencies operate fairly and justly, if it is indeed applied by law enforcement agencies.

Furthermore, President Hichilema called for professionalism in cyberspace, stressing that it is currently being misused. He called on the Human Rights Commission to take an active role in promoting responsible online behaviour. This emphasis on online professionalism is a commendable initiative that can significantly enhance the enabling environment for civil society in Zambia, encouraging constructive dialogue and reducing harmful behaviours like misinformation and cyberbullying. Currently, Zambia lacks specific legislation defining &#8220;online professionalism&#8221; for civil society and activists, leading to uncertainty and potentially hindering advocacy efforts. Without clear guidelines, activists may fear repercussions, leading to self-censorship and a diminished capacity to hold authorities accountable.

",2025-04-02,,,Zambia,"Civic Culture and Public Discourses on Civil Society, Digital Environment Integrity and Security, Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Positive,"Context to watch",,,,,,,,,,,
"Amendments to cybercrimes act restrict free speech online","Event Summary
On 23 January 2025, the Pakistan parliament amended the 2016 cybercrimes law, known as the Prevention of Electronic Crimes Act (PECA). The PECA Amendment Act 2025 created a new penal offense of intentional distribution and sharing of false information, with a penalty of up to three years in jail and fines of up to 2 million Pakistani Rupees. The amendment also provides for new types of online content that are prohibited and or blocked including false information and defamatory content especially in relation to representatives of the executive, judiciary, legislature and the armed forces. The Act establishes a number of new government agencies and tribunals to enforce content blocking and prosecute criminal cases and was passed without any serious consultation with relevant stakeholders.
The PECA Amendment Act 2025 equips the government with the wide-reaching powers to control online content and, in the process, violates the freedom of speech, press freedom, and digital rights. The lack of clarity in the laws and the possibility of their arbitrary application conflict with the principles of proportionality and necessity that are part of international human rights law. Additionally, the penalties provided for by the law have provoked fear and self-censorship among various participants, thus going against democratic principles and the basic right to free speech. Civil society and journalist and media organizations have expressed concern that the law may be misused to silence dissent, which will in turn lead to less investigative journalism and a denial of the right of the public to know.
The implementation of the PECA Amendment Act 2025 is part of a general trend of laws that have progressively taken away civil rights to free speech and freedom of expression over the last year. This trend includes significant actions such as the ban on Twitter (now X) during the February 2024 general elections, which continues until today. The amendment also coincides with the restriction of internet freedoms in the country, with the government admitting to using a ‘web management system’ with deep packet inspection for surveillance and frequent reports of the government throttling Internet access to stifle political activism.
The amendment also coincides with the restriction of internet freedoms in the country in 2024, with the government admitting to using a ‘web management system’ with deep packet inspection for surveillance, the continued domestic ban on the X network (previously Twitter), and frequent reports of the government throttling Internet access to stifle political activism.
The PFUJ, the country’s biggest journalist union has gone to court over the PECA amendment and has called for a countrywide protest. Newspaper editors and publishers and TV news channel owners have also come up with a united front against the development. Other legal challenges to the constitutionality of the PECA amendment have been filed in other courts. Lawyers say the amendment is inconsistent with Article 19 of Pakistan’s constitution, which allows for freedom of speech, within reasonable limits.
",2025-04-02,,,Pakistan,"Digital Environment Integrity and Security, Respect and protection of fundamental freedoms",Negative,"Deterioration alert",,,,,,,,,,,
"Lawmakers continue to push for regulation to enforce “anti-NGO” law, support the suspension of USAID funding","Event Summary
Lawmakers in Paraguay continue to push for the enforcement of the ‘Law Establishing Control, Transparency and Accountability for Non-Profit Organizations,’ calling out delays in the passing of secondary regulation necessary for its operationalization. The Law (Law No. 7363) which was passed in November 2024 has been rejected by various sectors of Paraguayan society for establishing serious restrictions on the rights of civil society organizations. Once implemented, the law is expected to limit freedom of association by, among other restrictions, placing excessive administrative burden on civil society organizations, thereby making cooperation channels more difficult, forcing smaller organizations to close down, and preventing new ones from being opened.
The push for enforcement of the law, dubbed ‘anti-NGO law’ by civil society actors, is part of a broader campaign against NGOs in Congress, which previously established a Bicameral Commission of Inquiry (CBI) investigating allegations of money laundering through NGOs. While the CBI already had a negative impact on the enabling environment, discrediting civil society organizations and violating their right to privacy, members have now announced that they will request documents from USAID to further investigate the organizations funded by them. The discourse surrounding the USAID funding freeze, particularly the allegations of misuse of resources by civil society and of foreign interference in national political affairs, thus adds to anti-NGO narratives used to justify the CBI investigation as well as the push for Law 7363. As part of these narratives, Paraguayan lawmakers have supported the freezing of USAID funding, which had seriously disrupted civil society work in Paraguay, as a push for increased transparency. The Vice-Presidency of the Foreign Relations Commission further announced the participation of  a Senator of the ruling party in the Conservative Political Action Conference (CPAC) in May 2025 in Hungary, to give a presentation on the &#8220;cultural battle against NGOs&#8221; in Paraguay, further providing evidence of the government’s political agenda against civil society.
",2025-04-02,,,Paraguay,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, State openness and responsiveness to civil society, Supportive legal and regulatory framework",Negative,"Early warning alert",,,,,,,,,,,
"Congress approves amendment to the Law of the Peruvian Agency for International Cooperation (APCI), threatening the autonomy and sustainability of CSOs","Event Summary
On 12 March 2025, Congress passed a series of restrictive measures targeting civil society organizations by amending the Law Establishing the Peruvian Agency for International Cooperation (APCI). These reforms expand government control and interference in civil associations, marking a significant shift toward a more restrictive environment that undermines their autonomy and independence.
Under the new law, APCI will require all civil society organizations receiving international cooperation funding to register and comply with a set of arbitrary regulations and disproportionate sanctions, threatening their long-term sustainability.
Despite strong opposition from civil society, the law was rushed through in a first vote without the possibility of a second debate. It now awaits either enactment or veto by the executive branch; otherwise, Congress may proceed with its promulgation.
",2025-04-02,,,Peru,"Accessible and sustainable resources, Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Negative,"Deterioration alert",,,,,,,,,,,
"Prosecutor warns environmental leaders opposing the Tia Maria mining project to avoid actions that could disturb public order","Event Summary
On 17 February 2025, community leaders, environmental defenders, farmers, and residents of the Tambo Valley in Arequipa began peaceful protests against the Tía María and La Tapada mining project by Southern Copper Corporation, which has government approval.
That same day, several defenders received preventive warnings from the Islay Provincial Criminal Prosecutor’s Office, urging them to avoid actions that could disturb public order or pose risks to public safety. While this measure is not a formal complaint or investigation, civil society actors argue that it threatens activists and seeks to restrict the right to protest and criminalise social movements. If misused, it could lead to significant deterioration in the enabling environment for environmental activists and defenders.

",2025-04-02,,,Peru,"Respect and protection of fundamental freedoms",Negative,"Early warning alert",,,,,,,,,,,
"Draft NGO Law reinforces political oversight on NGOs","Event Summary
The recent USAID funding freeze has re-ignited discussions of the NGO Bill by the government, which was initially drafted in January 2024 without a comprehensive consultative process with the sector. The draft law titled Non-Governmental Organizations (Registration and Supervision) Act will repeal and replace the Voluntary Social Service Organisations (Registration and Supervision) Act No. 31 of 1980 (VSSO Act). Civil society has raised several concerns in relation to the proposed legislation as it aims primarily at regulating them and not supporting them, and as it contains vague and subjective restrictions on NGO activities. It has been warned that the law could be interpreted to &#8220;restrict dissent, alternate political views and activities perceived as opposing government.”
In addition, the political party Sri Lanka Podujana Peramuna has called for the appointment of a parliamentary select committee to investigate both registered and unregistered non-governmental organisations operating in the country.
",2025-04-02,,,"Sri Lanka","Accessible and sustainable resources, Civic Culture and Public Discourses on Civil Society, Supportive legal and regulatory framework",Negative,"Early warning alert",,,,,,,,,,,
